ID,FIRST_NAME,LAST_NAME,EMAIL_ADDRESS,STATUS
101,Manica,Sayal,manicasayal@techchallenge.com,A
102,Preeti,Singh,preetisingh@techchallenge.com,I
103,Hemant,Mishra,hemantmishra@techchallenge.com,A
104,Aman,Kumar,hemantkumar@techchallenge.com,I
105,Tom,Hansen,tomhansen@techchallenge.com,A
106,Tim,Hansen,timhansen@techchallenge.com,A
107,Sungandha,Negi,sugandhanegi@techchallenge.com,A
108,Rahul,Dev,rahuldev@techchallenge.com,A
109,Kapil,Kumar,kapilkumar@techchallenge.com,A
110,Sonali,Devi,sonalidevi@techchallenge.com,A
